mirror_id,mirror_width_m,mirror_height_m,x_m,y_m,z_m
1,6.746757379733026,6.228727007317101,0.0,-47.03477994232125,4.110585252215359
2,6.746757379733026,6.228727007317101,11.74556755179166,-47.54760249662809,4.110585252215359
3,6.746757379733026,6.228727007317101,23.40174424234659,-49.082167270259646,4.110585252215359
4,6.746757379733026,6.228727007317101,34.87981952885775,-51.626795298693,4.110585252215359
5,6.746757379733026,6.228727007317101,46.09243832774345,-55.162120426143375,4.110585252215359
6,6.746757379733026,6.228727007317101,56.954265839579826,-59.661236693703216,4.110585252215359
7,6.746757379733026,6.228727007317101,67.382636998451,-65.08990310993568,4.110585252215359
8,6.746757379733026,6.228727007317101,77.29818560301537,-71.40680424549488,4.110585252215359
9,6.746757379733026,6.228727007317101,86.62544834122019,-78.56386466848998,4.110585252215359
10,6.746757379733026,6.228727007317101,95.29343911167253,-86.50661482755075,4.110585252215359
11,6.746757379733026,6.228727007317101,103.2361892707333,-95.17460559800308,4.110585252215359
12,6.746757379733026,6.228727007317101,110.3932496937284,-104.5018683362079,4.110585252215359
13,6.746757379733026,6.228727007317101,116.71015082928758,-114.41741694077226,4.110585252215359
14,6.746757379733026,6.228727007317101,122.13881724552007,-124.84578809964347,4.110585252215359
15,6.746757379733026,6.228727007317101,126.6379335130799,-135.7076156114798,4.110585252215359
16,6.746757379733026,6.228727007317101,130.1732586405303,-146.9202344103655,4.110585252215359
17,6.746757379733026,6.228727007317101,132.71788666896364,-158.39830969687668,4.110585252215359
18,6.746757379733026,6.228727007317101,134.2524514425952,-170.05448638743164,4.110585252215359
19,6.746757379733026,6.228727007317101,134.76527399690204,-181.8000539392233,4.110585252215359
20,6.746757379733026,6.228727007317101,134.2524514425952,-193.54562149101494,4.110585252215359
21,6.746757379733026,6.228727007317101,132.71788666896364,-205.20179818156987,4.110585252215359
22,6.746757379733026,6.228727007317101,130.1732586405303,-216.67987346808104,4.110585252215359
23,6.746757379733026,6.228727007317101,126.63793351307991,-227.8924922669667,4.110585252215359
24,6.746757379733026,6.228727007317101,122.13881724552009,-238.7543197788031,4.110585252215359
25,6.746757379733026,6.228727007317101,116.71015082928761,-249.1826909376743,4.110585252215359
26,6.746757379733026,6.228727007317101,110.3932496937284,-259.0982395422387,4.110585252215359
27,6.746757379733026,6.228727007317101,103.2361892707333,-268.4255022804435,4.110585252215359
28,6.746757379733026,6.228727007317101,95.29343911167254,-277.0934930508958,4.110585252215359
29,6.746757379733026,6.228727007317101,86.62544834122022,-285.0362432099566,4.110585252215359
30,6.746757379733026,6.228727007317101,77.29818560301536,-292.1933036329517,4.110585252215359
31,6.746757379733026,6.228727007317101,67.38263699845106,-298.51020476851085,4.110585252215359
32,6.746757379733026,6.228727007317101,56.95426583957983,-303.93887118474333,4.110585252215359
33,6.746757379733026,6.228727007317101,46.09243832774347,-308.4379874523032,4.110585252215359
34,6.746757379733026,6.228727007317101,34.87981952885773,-311.9733125797536,4.110585252215359
35,6.746757379733026,6.228727007317101,23.401744242346584,-314.5179406081869,4.110585252215359
36,6.746757379733026,6.228727007317101,11.745567551791664,-316.0525053818185,4.110585252215359
37,6.746757379733026,6.228727007317101,1.6503986143652212e-14,-316.5653279361253,4.110585252215359
38,6.746757379733026,6.228727007317101,-11.74556755179163,-316.0525053818185,4.110585252215359
39,6.746757379733026,6.228727007317101,-23.40174424234655,-314.51794060818696,4.110585252215359
